LSOA,Local Authority (LA) Name
W01000288,Flintshire
W01000289,Flintshire
W01000290,Flintshire
W01000291,Flintshire
W01000292,Flintshire
W01000293,Flintshire
W01000294,Flintshire
W01000295,Flintshire
W01000296,Flintshire
W01000297,Flintshire
W01000298,Flintshire
W01000299,Flintshire
W01000300,Flintshire
W01000301,Flintshire
W01000302,Flintshire
W01000303,Flintshire
W01000304,Flintshire
W01000305,Flintshire
W01000306,Flintshire
W01000307,Flintshire
W01000308,Flintshire
W01000309,Flintshire
W01000310,Flintshire
W01000311,Flintshire
W01000312,Flintshire
W01000313,Flintshire
W01000314,Flintshire
W01000315,Flintshire
W01000316,Flintshire
W01000317,Flintshire
W01000318,Flintshire
W01000319,Flintshire
W01000320,Flintshire
W01000321,Flintshire
W01000322,Flintshire
W01000323,Flintshire
W01000324,Flintshire
W01000325,Flintshire
W01000326,Flintshire
W01000327,Flintshire
W01000328,Flintshire
W01000329,Flintshire
W01000330,Flintshire
W01000331,Flintshire
W01000332,Flintshire
W01000333,Flintshire
W01000334,Flintshire
W01000335,Flintshire
W01000336,Flintshire
W01000337,Flintshire
W01000338,Flintshire
W01000339,Flintshire
W01000340,Flintshire
W01000341,Wrexham
W01000342,Wrexham
W01000343,Wrexham
W01000344,Wrexham
W01000345,Wrexham
W01000346,Wrexham
W01000347,Wrexham
W01000348,Wrexham
W01000349,Wrexham
W01000350,Wrexham
W01000351,Wrexham
W01000352,Wrexham
W01000353,Wrexham
W01000354,Wrexham
W01000355,Wrexham
W01000356,Wrexham
W01000359,Wrexham
W01000360,Wrexham
W01000361,Wrexham
W01000362,Wrexham
W01000363,Wrexham
W01000364,Wrexham
W01000365,Wrexham
W01000366,Wrexham
W01000367,Wrexham
W01000368,Wrexham
W01000369,Wrexham
W01000370,Wrexham
W01000371,Wrexham
W01000372,Wrexham
W01000373,Wrexham
W01000374,Wrexham
W01000375,Wrexham
W01000376,Wrexham
W01000377,Wrexham
W01000378,Wrexham
W01000379,Wrexham
W01000380,Wrexham
W01000381,Wrexham
W01000382,Wrexham
W01000383,Wrexham
W01000384,Wrexham
W01000385,Wrexham
W01000386,Wrexham
W01000387,Wrexham
W01000388,Wrexham
W01000389,Wrexham
W01000390,Wrexham
W01000391,Wrexham
W01000392,Wrexham
W01000393,Wrexham
W01000394,Wrexham
W01000395,Wrexham
W01000396,Wrexham
W01000397,Wrexham
W01000398,Wrexham
W01000399,Wrexham
W01000400,Wrexham
W01000401,Wrexham
W01000402,Wrexham
W01000403,Wrexham
W01000404,Wrexham
W01000405,Wrexham
W01000406,Wrexham
W01000407,Wrexham
W01000408,Wrexham
W01000409,Wrexham
W01000410,Wrexham
W01000411,Wrexham
W01000412,Wrexham
W01000413,Wrexham
W01000414,Wrexham
W01000415,Wrexham
W01000416,Wrexham
W01000417,Wrexham
W01000418,Wrexham
W01000419,Wrexham
W01000420,Wrexham
W01000422,Wrexham
W01000423,Wrexham
W01000424,Wrexham
W01000425,Wrexham
W01000426,Powys
W01000427,Powys
W01000428,Powys
W01000429,Powys
W01000430,Powys
W01000431,Powys
W01000432,Powys
W01000433,Powys
W01000434,Powys
W01000438,Powys
W01000439,Powys
W01000440,Powys
W01000441,Powys
W01000442,Powys
W01000443,Powys
W01000444,Powys
W01000445,Powys
W01000446,Powys
W01000447,Powys
W01000448,Powys
W01000449,Powys
W01000450,Powys
W01000451,Powys
W01000452,Powys
W01000453,Powys
W01000454,Powys
W01000455,Powys
W01000456,Powys
W01000457,Powys
W01000458,Powys
W01000459,Powys
W01000460,Powys
W01000461,Powys
W01000464,Powys
W01000465,Powys
W01000466,Powys
W01000467,Powys
W01000470,Powys
W01000471,Powys
W01000472,Powys
W01000473,Powys
W01000474,Powys
W01000475,Powys
W01000476,Powys
W01000477,Powys
W01000478,Powys
W01000479,Powys
W01000480,Powys
W01000481,Powys
W01000482,Powys
W01000483,Powys
W01000484,Powys
W01000485,Powys
W01000486,Powys
W01000487,Powys
W01000488,Powys
W01000489,Powys
W01000492,Powys
W01000493,Powys
W01000494,Powys
W01000496,Powys
W01000497,Powys
W01000498,Powys
W01000499,Powys
W01000500,Powys
W01000501,Powys
W01000502,Powys
W01000503,Powys
W01000504,Powys
W01000505,Powys
W01000506,Ceredigion
W01000507,Ceredigion
W01000508,Ceredigion
W01000509,Ceredigion
W01000510,Ceredigion
W01000511,Ceredigion
W01000512,Ceredigion
W01000513,Ceredigion
W01000515,Ceredigion
W01000516,Ceredigion
W01000517,Ceredigion
W01000518,Ceredigion
W01000519,Ceredigion
W01000522,Ceredigion
W01000523,Ceredigion
W01000524,Ceredigion
W01000525,Ceredigion
W01000527,Ceredigion
W01000528,Ceredigion
W01000529,Ceredigion
W01000531,Ceredigion
W01000532,Ceredigion
W01000533,Ceredigion
W01000534,Ceredigion
W01000535,Ceredigion
W01000536,Ceredigion
W01000537,Ceredigion
W01000538,Ceredigion
W01000539,Ceredigion
W01000540,Ceredigion
W01000541,Ceredigion
W01000542,Ceredigion
W01000543,Ceredigion
W01000544,Ceredigion
W01000545,Ceredigion
W01000546,Ceredigion
W01000547,Ceredigion
W01000548,Ceredigion
W01000549,Ceredigion
W01000550,Ceredigion
W01000551,Ceredigion
W01000552,Ceredigion
W01000553,Pembrokeshire
W01000554,Pembrokeshire
W01000555,Pembrokeshire
W01000556,Pembrokeshire
W01000557,Pembrokeshire
W01000558,Pembrokeshire
W01000559,Pembrokeshire
W01000560,Pembrokeshire
W01000561,Pembrokeshire
W01000562,Pembrokeshire
W01000563,Pembrokeshire
W01000564,Pembrokeshire
W01000565,Pembrokeshire
W01000566,Pembrokeshire
W01000567,Pembrokeshire
W01000568,Pembrokeshire
W01000569,Pembrokeshire
W01000570,Pembrokeshire
W01000571,Pembrokeshire
W01000572,Pembrokeshire
W01000573,Pembrokeshire
W01000574,Pembrokeshire
W01000575,Pembrokeshire
W01000576,Pembrokeshire
W01000577,Pembrokeshire
W01000578,Pembrokeshire
W01000579,Pembrokeshire
W01000580,Pembrokeshire
W01000581,Pembrokeshire
W01000582,Pembrokeshire
W01000583,Pembrokeshire
W01000584,Pembrokeshire
W01000585,Pembrokeshire
W01000586,Pembrokeshire
W01000587,Pembrokeshire
W01000588,Pembrokeshire
W01000589,Pembrokeshire
W01000590,Pembrokeshire
W01000591,Pembrokeshire
W01000592,Pembrokeshire
W01000593,Pembrokeshire
W01000594,Pembrokeshire
W01000595,Pembrokeshire
W01000596,Pembrokeshire
W01000597,Pembrokeshire
W01000598,Pembrokeshire
W01000599,Pembrokeshire
W01000600,Pembrokeshire
W01000601,Pembrokeshire
W01000602,Pembrokeshire
W01000603,Pembrokeshire
W01000604,Pembrokeshire
W01000605,Pembrokeshire
W01000606,Pembrokeshire
W01000607,Pembrokeshire
W01000608,Pembrokeshire
W01000609,Pembrokeshire
W01000610,Pembrokeshire
W01000611,Pembrokeshire
W01000612,Pembrokeshire
W01000613,Pembrokeshire
W01000614,Pembrokeshire
W01000615,Pembrokeshire
W01000616,Pembrokeshire
W01000617,Pembrokeshire
W01000618,Pembrokeshire
W01000619,Pembrokeshire
W01000620,Pembrokeshire
W01000621,Pembrokeshire
W01000622,Pembrokeshire
W01000623,Pembrokeshire
W01000624,Carmarthenshire
W01000625,Carmarthenshire
W01000626,Carmarthenshire
W01000627,Carmarthenshire
W01000628,Carmarthenshire
W01000629,Carmarthenshire
W01000630,Carmarthenshire
W01000631,Carmarthenshire
W01000632,Carmarthenshire
W01000633,Carmarthenshire
W01000634,Carmarthenshire
W01000635,Carmarthenshire
W01000636,Carmarthenshire
W01000637,Carmarthenshire
W01000638,Carmarthenshire
W01000639,Carmarthenshire
W01000640,Carmarthenshire
W01000641,Carmarthenshire
W01000642,Carmarthenshire
W01000643,Carmarthenshire
W01000644,Carmarthenshire
W01000645,Carmarthenshire
W01000646,Carmarthenshire
W01000647,Carmarthenshire
W01000648,Carmarthenshire
W01000649,Carmarthenshire
W01000650,Carmarthenshire
W01000651,Carmarthenshire
W01000652,Carmarthenshire
W01000653,Carmarthenshire
W01000654,Carmarthenshire
W01000655,Carmarthenshire
W01000656,Carmarthenshire
W01000657,Carmarthenshire
W01000658,Carmarthenshire
W01000659,Carmarthenshire
W01000660,Carmarthenshire
W01000662,Carmarthenshire
W01000663,Carmarthenshire
W01000664,Carmarthenshire
W01000665,Carmarthenshire
W01000666,Carmarthenshire
W01000667,Carmarthenshire
W01000670,Carmarthenshire
W01000671,Carmarthenshire
W01000672,Carmarthenshire
W01000673,Carmarthenshire
W01000674,Carmarthenshire
W01000675,Carmarthenshire
W01000676,Carmarthenshire
W01000677,Carmarthenshire
W01000678,Carmarthenshire
W01000679,Carmarthenshire
W01000680,Carmarthenshire
W01000681,Carmarthenshire
W01000682,Carmarthenshire
W01000683,Carmarthenshire
W01000684,Carmarthenshire
W01000685,Carmarthenshire
W01000686,Carmarthenshire
W01000687,Carmarthenshire
W01000688,Carmarthenshire
W01000689,Carmarthenshire
W01000690,Carmarthenshire
W01000691,Carmarthenshire
W01000692,Carmarthenshire
W01000693,Carmarthenshire
W01000694,Carmarthenshire
W01000695,Carmarthenshire
W01000696,Carmarthenshire
W01000697,Carmarthenshire
W01000698,Carmarthenshire
W01000699,Carmarthenshire
W01000700,Carmarthenshire
W01000701,Carmarthenshire
W01000702,Carmarthenshire
W01000703,Carmarthenshire
W01000704,Carmarthenshire
W01000705,Carmarthenshire
W01000706,Carmarthenshire
W01000707,Carmarthenshire
W01000708,Carmarthenshire
W01000709,Carmarthenshire
W01000710,Carmarthenshire
W01000711,Carmarthenshire
W01000712,Carmarthenshire
W01000713,Carmarthenshire
W01000714,Carmarthenshire
W01000715,Carmarthenshire
W01000716,Carmarthenshire
W01000717,Carmarthenshire
W01000718,Carmarthenshire
W01000719,Carmarthenshire
W01000720,Carmarthenshire
W01000721,Carmarthenshire
W01000722,Carmarthenshire
W01000723,Carmarthenshire
W01000724,Carmarthenshire
W01000725,Carmarthenshire
W01000726,Carmarthenshire
W01000727,Carmarthenshire
W01000728,Carmarthenshire
W01000729,Carmarthenshire
W01000730,Carmarthenshire
W01000731,Carmarthenshire
W01000732,Carmarthenshire
W01000733,Carmarthenshire
W01000734,Carmarthenshire
W01000735,Carmarthenshire
W01000736,Swansea
W01000737,Swansea
W01000738,Swansea
W01000739,Swansea
W01000740,Swansea
W01000741,Swansea
W01000742,Swansea
W01000744,Swansea
W01000745,Swansea
W01000746,Swansea
W01000747,Swansea
W01000749,Swansea
W01000750,Swansea
W01000751,Swansea
W01000752,Swansea
W01000753,Swansea
W01000754,Swansea
W01000755,Swansea
W01000756,Swansea
W01000757,Swansea
W01000758,Swansea
W01000759,Swansea
W01000760,Swansea
W01000761,Swansea
W01000762,Swansea
W01000763,Swansea
W01000764,Swansea
W01000765,Swansea
W01000766,Swansea
W01000767,Swansea
W01000768,Swansea
W01000769,Swansea
W01000770,Swansea
W01000771,Swansea
W01000772,Swansea
W01000773,Swansea
W01000774,Swansea
W01000775,Swansea
W01000776,Swansea
W01000777,Swansea
W01000778,Swansea
W01000779,Swansea
W01000781,Swansea
W01000782,Swansea
W01000784,Swansea
W01000785,Swansea
W01000786,Swansea
W01000787,Swansea
W01000788,Swansea
W01000789,Swansea
W01000790,Swansea
W01000791,Swansea
W01000792,Swansea
W01000793,Swansea
W01000794,Swansea
W01000795,Swansea
W01000796,Swansea
W01000797,Swansea
W01000798,Swansea
W01000799,Swansea
W01000800,Swansea
W01000801,Swansea
W01000802,Swansea
W01000803,Swansea
W01000804,Swansea
W01000805,Swansea
W01000806,Swansea
W01000807,Swansea
W01000808,Swansea
W01000809,Swansea
W01000810,Swansea
W01000811,Swansea
W01000812,Swansea
W01000813,Swansea
W01000814,Swansea
W01000815,Swansea
W01000816,Swansea
W01000817,Swansea
W01000818,Swansea
W01000819,Swansea
W01000820,Swansea
W01000821,Swansea
W01000822,Swansea
W01000823,Swansea
W01000824,Swansea
W01000825,Swansea
W01000826,Swansea
W01000827,Swansea
W01000828,Swansea
W01000829,Swansea
W01000830,Swansea
W01000831,Swansea
W01000832,Swansea
W01000833,Swansea
W01000834,Swansea
W01000835,Swansea
W01000836,Swansea
W01000837,Swansea
W01000838,Swansea
W01000839,Swansea
W01000840,Swansea
W01000841,Swansea
W01000842,Swansea
W01000843,Swansea
W01000844,Swansea
W01000845,Swansea
W01000846,Swansea
W01000847,Swansea
W01000848,Swansea
W01000849,Swansea
W01000850,Swansea
W01000851,Swansea
W01000852,Swansea
W01000853,Swansea
W01000854,Swansea
W01000855,Swansea
W01000856,Swansea
W01000857,Swansea
W01000858,Swansea
W01000859,Swansea
W01000860,Swansea
W01000861,Swansea
W01000862,Swansea
W01000863,Swansea
W01000864,Swansea
W01000865,Swansea
W01000866,Swansea
W01000867,Swansea
W01000868,Swansea
W01000869,Swansea
W01000870,Swansea
W01000871,Swansea
W01000872,Swansea
W01000873,Swansea
W01000874,Swansea
W01000875,Swansea
W01000876,Swansea
W01000877,Swansea
W01000878,Swansea
W01000879,Swansea
W01000880,Swansea
W01000881,Swansea
W01000882,Swansea
W01000883,Neath Port Talbot
W01000884,Neath Port Talbot
W01000885,Neath Port Talbot
W01000886,Neath Port Talbot
W01000887,Neath Port Talbot
W01000888,Neath Port Talbot
W01000889,Neath Port Talbot
W01000890,Neath Port Talbot
W01000891,Neath Port Talbot
W01000892,Neath Port Talbot
W01000893,Neath Port Talbot
W01000894,Neath Port Talbot
W01000895,Neath Port Talbot
W01000896,Neath Port Talbot
W01000897,Neath Port Talbot
W01000898,Neath Port Talbot
W01000899,Neath Port Talbot
W01000900,Neath Port Talbot
W01000901,Neath Port Talbot
W01000902,Neath Port Talbot
W01000903,Neath Port Talbot
W01000904,Neath Port Talbot
W01000905,Neath Port Talbot
W01000906,Neath Port Talbot
W01000907,Neath Port Talbot
W01000908,Neath Port Talbot
W01000909,Neath Port Talbot
W01000910,Neath Port Talbot
W01000911,Neath Port Talbot
W01000912,Neath Port Talbot
W01000913,Neath Port Talbot
W01000914,Neath Port Talbot
W01000915,Neath Port Talbot
W01000916,Neath Port Talbot
W01000917,Neath Port Talbot
W01000918,Neath Port Talbot
W01000919,Neath Port Talbot
W01000920,Neath Port Talbot
W01000921,Neath Port Talbot
W01000922,Neath Port Talbot
W01000923,Neath Port Talbot
W01000924,Neath Port Talbot
W01000925,Neath Port Talbot
W01000926,Neath Port Talbot
W01000927,Neath Port Talbot
W01000928,Neath Port Talbot
W01000929,Neath Port Talbot
W01000930,Neath Port Talbot
W01000931,Neath Port Talbot
W01000932,Neath Port Talbot
W01000933,Neath Port Talbot
W01000934,Neath Port Talbot
W01000935,Neath Port Talbot
W01000936,Neath Port Talbot
W01000937,Neath Port Talbot
W01000938,Neath Port Talbot
W01000939,Neath Port Talbot
W01000940,Neath Port Talbot
W01000941,Neath Port Talbot
W01000942,Neath Port Talbot
W01000943,Neath Port Talbot
W01000944,Neath Port Talbot
W01000945,Neath Port Talbot
W01000946,Neath Port Talbot
W01000947,Neath Port Talbot
W01000948,Neath Port Talbot
W01000949,Neath Port Talbot
W01000950,Neath Port Talbot
W01000951,Neath Port Talbot
W01000952,Neath Port Talbot
W01000953,Neath Port Talbot
W01000954,Neath Port Talbot
W01000955,Neath Port Talbot
W01000956,Neath Port Talbot
W01000957,Neath Port Talbot
W01000958,Neath Port Talbot
W01000959,Neath Port Talbot
W01000960,Neath Port Talbot
W01000961,Neath Port Talbot
W01000962,Neath Port Talbot
W01000963,Neath Port Talbot
W01000964,Neath Port Talbot
W01000965,Neath Port Talbot
W01000966,Neath Port Talbot
W01000967,Neath Port Talbot
W01000968,Neath Port Talbot
W01000969,Neath Port Talbot
W01000970,Neath Port Talbot
W01000971,Neath Port Talbot
W01000973,Neath Port Talbot
W01000974,Bridgend
W01000975,Bridgend
W01000976,Bridgend
W01000977,Bridgend
W01000978,Bridgend
W01000979,Bridgend
W01000980,Bridgend
W01000981,Bridgend
W01000982,Bridgend
W01000983,Bridgend
W01000984,Bridgend
W01000985,Bridgend
W01000986,Bridgend
W01000987,Bridgend
W01000989,Bridgend
W01000990,Bridgend
W01000991,Bridgend
W01000992,Bridgend
W01000993,Bridgend
W01000994,Bridgend
W01000995,Bridgend
W01000996,Bridgend
W01000997,Bridgend
W01000998,Bridgend
W01000999,Bridgend
W01001000,Bridgend
W01001001,Bridgend
W01001002,Bridgend
W01001003,Bridgend
W01001004,Bridgend
W01001005,Bridgend
W01001006,Bridgend
W01001007,Bridgend
W01001008,Bridgend
W01001009,Bridgend
W01001010,Bridgend
W01001011,Bridgend
W01001012,Bridgend
W01001013,Bridgend
W01001014,Bridgend
W01001015,Bridgend
W01001016,Bridgend
W01001017,Bridgend
W01001018,Bridgend
W01001019,Bridgend
W01001020,Bridgend
W01001021,Bridgend
W01001022,Bridgend
W01001023,Bridgend
W01001024,Bridgend
W01001025,Bridgend
W01001026,Bridgend
W01001027,Bridgend
W01001028,Bridgend
W01001029,Bridgend
W01001030,Bridgend
W01001031,Bridgend
W01001032,Bridgend
W01001033,Bridgend
W01001034,Bridgend
W01001035,Bridgend
W01001036,Bridgend
W01001037,Bridgend
W01001038,Bridgend
W01001039,Bridgend
W01001040,Bridgend
W01001041,Bridgend
W01001042,Bridgend
W01001043,Bridgend
W01001044,Bridgend
W01001045,Bridgend
W01001046,Bridgend
W01001047,Bridgend
W01001048,Bridgend
W01001049,Bridgend
W01001050,Bridgend
W01001051,Bridgend
W01001052,Bridgend
W01001053,Bridgend
W01001054,Bridgend
W01001055,Bridgend
W01001056,Bridgend
W01001057,Bridgend
W01001058,Bridgend
W01001059,Vale of Glamorgan
W01001060,Vale of Glamorgan
W01001061,Vale of Glamorgan
W01001062,Vale of Glamorgan
W01001063,Vale of Glamorgan
W01001064,Vale of Glamorgan
W01001065,Vale of Glamorgan
W01001066,Vale of Glamorgan
W01001067,Vale of Glamorgan
W01001068,Vale of Glamorgan
W01001069,Vale of Glamorgan
W01001070,Vale of Glamorgan
W01001071,Vale of Glamorgan
W01001072,Vale of Glamorgan
W01001073,Vale of Glamorgan
W01001075,Vale of Glamorgan
W01001076,Vale of Glamorgan
W01001077,Vale of Glamorgan
W01001078,Vale of Glamorgan
W01001079,Vale of Glamorgan
W01001080,Vale of Glamorgan
W01001081,Vale of Glamorgan
W01001082,Vale of Glamorgan
W01001083,Vale of Glamorgan
W01001084,Vale of Glamorgan
W01001085,Vale of Glamorgan
W01001086,Vale of Glamorgan
W01001087,Vale of Glamorgan
W01001088,Vale of Glamorgan
W01001089,Vale of Glamorgan
W01001090,Vale of Glamorgan
W01001091,Vale of Glamorgan
W01001092,Vale of Glamorgan
W01001093,Vale of Glamorgan
W01001094,Vale of Glamorgan
W01001095,Vale of Glamorgan
W01001096,Vale of Glamorgan
W01001097,Vale of Glamorgan
W01001098,Vale of Glamorgan
W01001099,Vale of Glamorgan
W01001100,Vale of Glamorgan
W01001101,Vale of Glamorgan
W01001102,Vale of Glamorgan
W01001103,Vale of Glamorgan
W01001104,Vale of Glamorgan
W01001105,Vale of Glamorgan
W01001106,Vale of Glamorgan
W01001107,Vale of Glamorgan
W01001108,Vale of Glamorgan
W01001109,Vale of Glamorgan
W01001110,Vale of Glamorgan
W01001111,Vale of Glamorgan
W01001112,Vale of Glamorgan
W01001113,Vale of Glamorgan
W01001114,Vale of Glamorgan
W01001115,Vale of Glamorgan
W01001116,Vale of Glamorgan
W01001117,Vale of Glamorgan
W01001118,Vale of Glamorgan
W01001119,Vale of Glamorgan
W01001120,Vale of Glamorgan
W01001121,Vale of Glamorgan
W01001122,Vale of Glamorgan
W01001123,Vale of Glamorgan
W01001124,Vale of Glamorgan
W01001125,Vale of Glamorgan
W01001126,Vale of Glamorgan
W01001127,Vale of Glamorgan
W01001128,Vale of Glamorgan
W01001129,Vale of Glamorgan
W01001130,Vale of Glamorgan
W01001131,Vale of Glamorgan
W01001132,Vale of Glamorgan
W01001133,Vale of Glamorgan
W01001134,Vale of Glamorgan
W01001135,Vale of Glamorgan
W01001136,Vale of Glamorgan
W01001137,Rhondda Cynon Taf
W01001138,Rhondda Cynon Taf
W01001139,Rhondda Cynon Taf
W01001140,Rhondda Cynon Taf
W01001141,Rhondda Cynon Taf
W01001142,Rhondda Cynon Taf
W01001143,Rhondda Cynon Taf
W01001144,Rhondda Cynon Taf
W01001145,Rhondda Cynon Taf
W01001146,Rhondda Cynon Taf
W01001147,Rhondda Cynon Taf
W01001148,Rhondda Cynon Taf
W01001149,Rhondda Cynon Taf
W01001150,Rhondda Cynon Taf
W01001151,Rhondda Cynon Taf
W01001152,Rhondda Cynon Taf
W01001153,Rhondda Cynon Taf
W01001154,Rhondda Cynon Taf
W01001155,Rhondda Cynon Taf
W01001156,Rhondda Cynon Taf
W01001157,Rhondda Cynon Taf
W01001158,Rhondda Cynon Taf
W01001159,Rhondda Cynon Taf
W01001160,Rhondda Cynon Taf
W01001161,Rhondda Cynon Taf
W01001162,Rhondda Cynon Taf
W01001164,Rhondda Cynon Taf
W01001165,Rhondda Cynon Taf
W01001166,Rhondda Cynon Taf
W01001167,Rhondda Cynon Taf
W01001168,Rhondda Cynon Taf
